Table 1
NAV calculation date;NAV;Reinvestment factor;"NAV (adjusted if ""distr."")";Dividend;Fund size (class);Fund size (compartment)
24.01.2017;201,95;;201,95;;543,022M;4041760811,31
23.01.2017;202,77;;202,77;;544,9M;4053050450,84
20.01.2017;203,84;;203,84;;547,425M;4072729153,28
19.01.2017;203,27;;203,27;;545,517M;4061918338,79
18.01.2017;202,80;;202,80;;542,807M;4052857212,54
16.01.2017;204,64;;204,64;;548,252M;4088794507,22
13.01.2017;203,60;;203,60;;545,895M;4076825083,86
12.01.2017;206,21;;206,21;;555,837M;4129964346,32
11.01.2017;204,24;;204,24;;550,882M;4092552823,64
10.01.2017;203,94;;203,94;;550,014M;4086610414,73
09.01.2017;203,86;;203,86;;549,46M;4079961337,88
06.01.2017;203,32;;203,32;;547,661M;4068921130,2
05.01.2017;204,71;;204,71;;551,478M;4094005870,47
04.01.2017;204,64;;204,64;;549,932M;4090009718,73
02.01.2017;200,58;;200,58;;538,646M;4009532220,73
30.12.2016;202,05;;202,05;;542,181M;4036741421,87
29.12.2016;202,87;;202,87;;543,911M;4051819185,27
28.12.2016;202,95;;202,95;;542,83M;4059946571,79
27.12.2016;202,19;;202,19;;540,086M;4054355877,22
23.12.2016;201,71;;201,71;;538,035M;4045567856,99
22.12.2016;202,98;;202,98;;540,626M;4068838220,67
21.12.2016;204,15;;204,15;;543,466M;4090299939,32
20.12.2016;202,93;;202,93;;539,556M;4065939215,94
19.12.2016;202,97;;202,97;;539,515M;4066694451,21
16.12.2016;202,91;;202,91;;538,232M;4067867688,86
15.12.2016;199,62;;199,62;;529,021M;4006742410,11
14.12.2016;201,17;;201,17;;532,633M;4037096746,19
13.12.2016;200,81;;200,81;;531,177M;4029570989,49
12.12.2016;202,57;;202,57;;535,69M;4064041806,74
09.12.2016;200,61;;200,61;;530,324M;4023612853,73
08.12.2016;197,56;;197,56;;521,41M;3968096400,7
07.12.2016;195,98;;195,98;;517,806M;3982108107,63
06.12.2016;195,13;;195,13;;515,702M;3964174114,89
05.12.2016;194,91;;194,91;;514,712M;3966776569,11
02.12.2016;195,64;;195,64;;514,724M;3979896684,63
01.12.2016;197,94;;197,94;;520,385M;4027848680,79
30.11.2016;198,97;;198,97;;526,96M;4054077824,28
29.11.2016;199,33;;199,33;;537,946M;4073932131,27
28.11.2016;200,07;;200,07;;546,335M;4099877320,77
24.11.2016;200,15;;200,15;;546,126M;4102069399,85
23.11.2016;199,39;;199,39;;543,37M;4087414535,24
22.11.2016;198,78;;198,78;;541,325M;4077474285,45
21.11.2016;198,42;;198,42;;540,555M;4068161300,83
18.11.2016;197,41;;197,41;;537,099M;4049026210,24
17.11.2016;195,93;;195,93;;533,057M;4021573854,15
16.11.2016;195,23;;195,23;;530,954M;4007589893,04
15.11.2016;193,93;;193,93;;527,303M;3979665357,45
14.11.2016;192,47;;192,47;;524,276M;3959624126,09
11.11.2016;192,40;;192,40;;519,955M;3957923470,47
10.11.2016;192,56;;192,56;;520,258M;3963528980,08
09.11.2016;189,54;;189,54;;512,538M;3901589832,21
08.11.2016;189,89;;189,89;;511,755M;3903985736,21
07.11.2016;186,00;;186,00;;501,15M;3823849933,07
04.11.2016;186,18;;186,18;;501,348M;3833601455,19
03.11.2016;186,93;;186,93;;504,599M;3872753211,41
01.11.2016;192,08;;192,08;;517,881M;3980617584,01
31.10.2016;192,47;;192,47;;518,797M;3988800479,15
28.10.2016;192,90;;192,90;;520,229M;3998873458,84
27.10.2016;193,80;;193,80;;523,646M;4017916107,47
26.10.2016;195,36;;195,36;;527,36M;4047895467,87
25.10.2016;196,30;;196,30;;529,419M;4070742773,09
24.10.2016;195,98;;195,98;;528,483M;4061992022,59
21.10.2016;195,50;;195,50;;527,025M;4052177398,77
20.10.2016;195,58;;195,58;;527,965M;4061226283,85
19.10.2016;194,88;;194,88;;525,854M;4046941764,19
18.10.2016;193,16;;193,16;;518,397M;4008524575,86
17.10.2016;193,53;;193,53;;518,867M;4015236593,9
14.10.2016;192,79;;192,79;;516,51M;4001031843,24
13.10.2016;193,82;;193,82;;518,898M;4022561880,31
12.10.2016;193,57;;193,57;;517,837M;4018072534,2
11.10.2016;194,53;;194,53;;520,311M;4039759031,66
10.10.2016;193,44;;193,44;;517,525M;4018482338,63
07.10.2016;194,67;;194,67;;520,753M;4042947297,02
06.10.2016;194,46;;194,46;;520,638M;4038691257,63
05.10.2016;195,23;;195,23;;521,819M;4048977455,45
04.10.2016;194,97;;194,97;;520,738M;4040260224,84
03.10.2016;195,03;;195,03;;521,364M;4040752600,37
30.09.2016;193,69;;193,69;;517,679M;4012728505,22
29.09.2016;195,82;;195,82;;524,339M;4056564653,04
28.09.2016;194,85;;194,85;;521,458M;4036406269,75
27.09.2016;193,17;;193,17;;517,372M;3995743332,53
26.09.2016;195,08;;195,08;;522,51M;4035097464,82
23.09.2016;196,07;;196,07;;525,193M;4053352031,32
22.09.2016;195,24;;195,24;;523,323M;4052767685,71
21.09.2016;193,11;;193,11;;517,681M;4015374035,96
20.09.2016;192,77;;192,77;;516,23M;4007913309,92
19.09.2016;192,19;;192,19;;514,381M;3994866714,8
16.09.2016;191,73;;191,73;;511,862M;3984700187,15
15.09.2016;189,85;;189,85;;506,719M;3945232145,77
14.09.2016;190,12;;190,12;;508,607M;3962027656,57
13.09.2016;192,63;;192,63;;514,974M;4012471580,45
12.09.2016;191,51;;191,51;;509,624M;3985748191,92
09.09.2016;195,53;;195,53;;520,215M;4067072287,83
08.09.2016;196,78;;196,78;;523,069M;4081917383,29
07.09.2016;196,75;;196,75;;522,637M;4070627891,09
05.09.2016;196,64;;196,64;;521,993M;4065445172,76
02.09.2016;194,78;;194,78;;516,723M;4026588185,24
01.09.2016;195,14;;195,14;;518,018M;4026827542,98
31.08.2016;195,79;;195,79;;519,827M;4039910990,36
30.08.2016;195,56;;195,56;;509,555M;4025513353,35
29.08.2016;193,97;;193,97;;505,358M;3991718832,75
26.08.2016;193,50;;193,50;;505,03M;3982255129,25
25.08.2016;194,30;;194,30;;507,873M;4004751891,84
24.08.2016;194,47;;194,47;;509,391M;4010373749,39
23.08.2016;193,06;;193,06;;505,521M;3980047943,72
22.08.2016;192,94;;192,94;;505,45M;3978103695,99
19.08.2016;192,91;;192,91;;505,351M;3977123421,58
18.08.2016;192,90;;192,90;;505,074M;3974851710,19
17.08.2016;193,64;;193,64;;506,432M;3988838544,19
16.08.2016;195,70;;195,70;;511,537M;4028855191,07
12.08.2016;195,62;;195,62;;511,903M;4026449495,47
11.08.2016;194,41;;194,41;;508,821M;4001666364,83
10.08.2016;195,37;;195,37;;512,807M;4021745426,32
09.08.2016;195,09;;195,09;;512,179M;4014158823,74
08.08.2016;195,31;;195,31;;513,283M;4018898333,08
05.08.2016;192,93;;192,93;;507,134M;3970845749,06
04.08.2016;191,94;;191,94;;504,48M;3955160045,82
03.08.2016;191,20;;191,20;;499,477M;3932090668,47
02.08.2016;193,67;;193,67;;504,211M;3980812827,68
01.08.2016;193,65;;193,65;;503,602M;3969790329,79
29.07.2016;194,53;;194,53;;505,139M;3986650202,15
28.07.2016;195,98;;195,98;;508,589M;4014937808,52
27.07.2016;196,09;;196,09;;509,177M;4018044746,98
26.07.2016;195,45;;195,45;;507,402M;4007261300,33
25.07.2016;195,59;;195,59;;509,639M;4044859138,59
22.07.2016;194,87;;194,87;;507,625M;4029490773,36
21.07.2016;195,12;;195,12;;508,302M;4032729137,48
20.07.2016;193,41;;193,41;;501,475M;4000938528,02
19.07.2016;193,22;;193,22;;487,388M;3995950079,26
18.07.2016;192,18;;192,18;;479,578M;3968340952,52
15.07.2016;191,90;;191,90;;480,399M;3963493855,92
14.07.2016;191,20;;191,20;;486,158M;3956477284,88
13.07.2016;191,44;;191,44;;486,349M;3957665004,33
12.07.2016;190,71;;190,71;;484,322M;3942730436,18
11.07.2016;189,26;;189,26;;480,765M;3914604977,54
08.07.2016;185,46;;185,46;;471,983M;3834733035,12
07.07.2016;185,20;;185,20;;471,261M;3829978695,01
06.07.2016;184,67;;184,67;;470,952M;3814688752,84
04.07.2016;186,85;;186,85;;477,676M;3860286776,44
01.07.2016;186,06;;186,06;;483,184M;3849658012,04
30.06.2016;183,72;;183,72;;487,861M;3812762828,56
29.06.2016;180,97;;180,97;;479,468M;3753217526,06
28.06.2016;178,62;;178,62;;478,507M;3727350086,99
27.06.2016;181,66;;181,66;;488,363M;3810233121,32
24.06.2016;185,29;;185,29;;498,022M;3888738567,53
22.06.2016;185,20;;185,20;;497,951M;3886018350,17
21.06.2016;184,27;;184,27;;495,664M;3869517360,75
20.06.2016;182,44;;182,44;;491,064M;3835327168,96
17.06.2016;183,14;;183,14;;493,351M;3853486732,31
16.06.2016;182,04;;182,04;;490,29M;3835371897,1
15.06.2016;182,52;;182,52;;491,711M;3856396499,13
14.06.2016;182,44;;182,44;;491,461M;3865075835,61
13.06.2016;184,11;;184,11;;495,363M;3900786005,66
10.06.2016;186,99;;186,99;;503,373M;3968173421,9
09.06.2016;187,05;;187,05;;503,088M;3967811819,9
08.06.2016;187,48;;187,48;;503,805M;3976097027,83
07.06.2016;186,58;;186,58;;501,321M;3956915999,82
06.06.2016;185,93;;185,93;;499,565M;3943404039,19
03.06.2016;188,58;;188,58;;506,484M;3996256102,77
02.06.2016;187,57;;187,57;;501,793M;3972801823,9
01.06.2016;188,34;;188,34;;504,572M;3997629661,44
30.05.2016;188,52;;188,52;;506,796M;3999083064,27
27.05.2016;186,94;;186,94;;502,503M;3964750250,58
26.05.2016;187,06;;187,06;;502,433M;3972968044,28
25.05.2016;186,00;;186,00;;499,42M;3950711778,55
24.05.2016;182,70;;182,70;;490,077M;3879957583,6
23.05.2016;182,77;;182,77;;490,235M;3882501909,55
20.05.2016;181,35;;181,35;;485,911M;3852423782,94
19.05.2016;181,44;;181,44;;483,959M;3847458135,86
18.05.2016;180,84;;180,84;;485,752M;3842016039,15
17.05.2016;182,38;;182,38;;490,375M;3875510283,41
13.05.2016;180,43;;180,43;;487,944M;3837789201,75
12.05.2016;180,77;;180,77;;488,09M;3842981250,94
11.05.2016;182,20;;182,20;;491,826M;3873230816,3
10.05.2016;180,35;;180,35;;486,527M;3834194725,11
09.05.2016;179,49;;179,49;;484,037M;3817281425,57
06.05.2016;179,17;;179,17;;483,377M;3814239458,33
04.05.2016;179,22;;179,22;;483,04M;3816867888,05
03.05.2016;181,10;;181,10;;487,381M;3864377242,73
02.05.2016;180,87;;180,87;;485,754M;3858372751,72
29.04.2016;183,92;;183,92;;492,703M;3921052457,99
28.04.2016;184,77;;184,77;;494,816M;3938795047,75
27.04.2016;184,65;;184,65;;492,577M;3934078815,44
26.04.2016;184,57;;184,57;;491,596M;3934142868,74
25.04.2016;185,25;;185,25;;494,528M;3950430185,42
22.04.2016;185,26;;185,26;;482,229M;3941260081,91
21.04.2016;185,24;;185,24;;481,687M;3937782472,05
20.04.2016;184,37;;184,37;;479,243M;3920788066,81
19.04.2016;184,11;;184,11;;474,035M;3911426122,09
18.04.2016;183,16;;183,16;;471,162M;3892258722,06
15.04.2016;184,13;;184,13;;473,66M;3912849827,91
14.04.2016;184,03;;184,03;;473,211M;3911607566,57
13.04.2016;180,18;;180,18;;462,683M;3831674450,95
12.04.2016;178,14;;178,14;;457,108M;3788592028,72
11.04.2016;178,72;;178,72;;458,134M;3803132542,52
08.04.2016;178,54;;178,54;;457,335M;3799291884,22
07.04.2016;179,90;;179,90;;460,405M;3829590010,73
06.04.2016;177,95;;177,95;;455,332M;3787976033,72
05.04.2016;179,94;;179,94;;460,727M;3830667882,06
04.04.2016;181,15;;181,15;;462,548M;3858105156,29
01.04.2016;180,49;;180,49;;460,63M;3847427652,21
31.03.2016;181,96;;181,96;;463,381M;3873933391
30.03.2016;182,67;;182,67;;464,7M;3895813091,78
29.03.2016;180,24;;180,24;;458,142M;3844439675,72
24.03.2016;180,89;;180,89;;459,316M;3855244932,52
23.03.2016;181,65;;181,65;;460,607M;3845590064,42
22.03.2016;181,27;;181,27;;460,445M;3803997753,94
21.03.2016;180,56;;180,56;;458,294M;3787721312,7
18.03.2016;179,73;;179,73;;455,793M;3772911396,9
17.03.2016;181,30;;181,30;;459,116M;3803526234,57
16.03.2016;179,72;;179,72;;455,011M;3769507488,52
15.03.2016;181,01;;181,01;;458,162M;3798969429,35
14.03.2016;180,14;;180,14;;461,348M;3789309570,93
11.03.2016;177,27;;177,27;;443,058M;3696157169,65
10.03.2016;179,89;;179,89;;449,357M;3746633095,02
09.03.2016;178,43;;178,43;;445,304M;3716877300,05
08.03.2016;181,35;;181,35;;452,121M;3776081873,82
07.03.2016;181,23;;181,23;;451,661M;3771555654,67
04.03.2016;181,56;;181,56;;452,393M;3779682572,11
03.03.2016;182,50;;182,50;;454,468M;3793186992,47
02.03.2016;181,33;;181,33;;452,387M;3766377595,47
01.03.2016;177,53;;177,53;;442,232M;3686890131,44
29.02.2016;176,66;;176,66;;439,333M;3666063957,3
26.02.2016;175,04;;175,04;;434,753M;3627390741,84
25.02.2016;173,24;;173,24;;429,674M;3588084918,62
24.02.2016;173,25;;173,25;;429,137M;3588590277,41
23.02.2016;174,93;;174,93;;441,875M;3632277415,61
22.02.2016;171,79;;171,79;;430,052M;3560606426,8
19.02.2016;171,96;;171,96;;429,056M;3565303626,31
18.02.2016;172,06;;172,06;;429,472M;3566948307,69
17.02.2016;168,49;;168,49;;422,751M;3497487619,19
15.02.2016;163,72;;163,72;;410,871M;3403498791,41
12.02.2016;159,47;;159,47;;400,602M;3318968208,89
11.02.2016;163,93;;163,93;;411,473M;3422564916,82
10.02.2016;162,03;;162,03;;407,25M;3394974302,71
09.02.2016;164,04;;164,04;;411,903M;3450934948,22
08.02.2016;168,73;;168,73;;423,574M;3549580690,71
05.02.2016;171,75;;171,75;;431,053M;3614489244,21
04.02.2016;172,70;;172,70;;441,878M;3639644335,1
03.02.2016;174,23;;174,23;;445,315M;3670035932,73
02.02.2016;178,13;;178,13;;454,523M;3735780536,74
01.02.2016;178,87;;178,87;;455,353M;3741856042,66
29.01.2016;173,14;;173,14;;439,855M;3619173871,18
28.01.2016;174,55;;174,55;;442,639M;3648311575,91
27.01.2016;175,91;;175,91;;444,971M;3675836626,84
26.01.2016;174,13;;174,13;;439,505M;3635251981,87
25.01.2016;176,73;;176,73;;447,495M;3697975763,71
22.01.2016;172,73;;172,73;;437,218M;3620897784,75
21.01.2016;169,87;;169,87;;429,03M;3566795337,63
20.01.2016;172,09;;172,09;;435,576M;3625263511,78
18.01.2016;171,71;;171,71;;434,407M;3621059742,24
15.01.2016;176,47;;176,47;;445,618M;3720015036,53
14.01.2016;176,03;;176,03;;444,505M;3713323289,7
13.01.2016;179,63;;179,63;;453,312M;3791137868,51
12.01.2016;177,87;;177,87;;450,059M;3758778071,53
11.01.2016;178,44;;178,44;;451,276M;3774231360
08.01.2016;181,45;;181,45;;458,719M;3836805775,43
07.01.2016;186,85;;186,85;;472,126M;3948529835,34
06.01.2016;190,13;;190,13;;479,691M;4017849160,19
05.01.2016;189,01;;189,01;;477,135M;3995309203,78
04.01.2016;191,59;;191,59;;483,142M;4047219878,74
31.12.2015;192,85;;192,85;;484,942M;4072673493,81
30.12.2015;193,99;;193,99;;486,596M;4093237276,56
29.12.2015;191,42;;191,42;;478,465M;4034875524,96
28.12.2015;191,85;;191,85;;478,196M;4036364722,81
23.12.2015;189,37;;189,37;;469,461M;3977697280,82
22.12.2015;188,95;;188,95;;473,989M;3975024338,4
21.12.2015;189,56;;189,56;;475,208M;3981698241,12
18.12.2015;191,62;;191,62;;479,276M;4023531701,44
17.12.2015;191,59;;191,59;;478,214M;4021078820,01
16.12.2015;189,36;;189,36;;471,481M;3975607689,01
15.12.2015;185,79;;185,79;;462,098M;3896126410,38
14.12.2015;186,81;;186,81;;463,808M;3917177340,1
11.12.2015;191,06;;191,06;;473,475M;4003028444,96
10.12.2015;190,58;;190,58;;471,632M;3993060214,39
09.12.2015;193,41;;193,41;;478,033M;4040821808,19
08.12.2015;195,30;;195,30;;481,975M;4078638396,1
07.12.2015;195,80;;195,80;;485,489M;4088033312,19
04.12.2015;194,36;;194,36;;492,805M;4060779965,49
03.12.2015;202,01;;202,01;;511,945M;4232649265,83
02.12.2015;202,68;;202,68;;511,369M;4241873911,15
01.12.2015;202,58;;202,58;;510,64M;4235189957,31
30.11.2015;202,13;;202,13;;508,185M;4241810885,16
26.11.2015;201,46;;201,46;;506,111M;4235034320,05
25.11.2015;199,47;;199,47;;501,821M;4192533002,04
24.11.2015;200,27;;200,27;;510,276M;4213869762,52
23.11.2015;199,73;;199,73;;508,732M;4199727859,11
20.11.2015;197,86;;197,86;;504,239M;4155953905,42
19.11.2015;198,75;;198,75;;505,687M;4171163805,28
18.11.2015;196,43;;196,43;;498,696M;4118536266,65
17.11.2015;194,72;;194,72;;493,061M;4078990235,52
16.11.2015;192,84;;192,84;;487,654M;4037302050,64
13.11.2015;194,47;;194,47;;490,359M;4071864924,7
12.11.2015;197,65;;197,65;;496,786M;4129930392,7
11.11.2015;198,22;;198,22;;497,784M;4137895379,38
10.11.2015;197,10;;197,10;;493,065M;4109849161,27
09.11.2015;198,88;;198,88;;497,908M;4141082091,43
06.11.2015;197,92;;197,92;;495,424M;4122271554,01
05.11.2015;197,65;;197,65;;494,138M;4112118451,94
04.11.2015;196,21;;196,21;;490,107M;4079484521,41
03.11.2015;194,97;;194,97;;485,199M;4047737039,92
02.11.2015;192,78;;192,78;;478,49M;4011189679,74
30.10.2015;194,04;;194,04;;480,965M;4033834208,54
29.10.2015;193,43;;193,43;;473,99M;4012683334,76
28.10.2015;191,48;;191,48;;468,389M;3967568953,92
27.10.2015;192,18;;192,18;;468,458M;3978452007,2
26.10.2015;192,88;;192,88;;469,255M;3986343096,17
23.10.2015;189,48;;189,48;;460,759M;3924062721,01
22.10.2015;184,18;;184,18;;447,549M;3813682448,24
21.10.2015;185,85;;185,85;;451,118M;3844397293,57
20.10.2015;186,84;;186,84;;453,278M;3861760028,19
19.10.2015;185,59;;185,59;;449,938M;3837877507,58
16.10.2015;185,04;;185,04;;447,94M;3823565235,47
15.10.2015;181,89;;181,89;;439,349M;3759065608,71
14.10.2015;183,15;;183,15;;441,626M;3787212946,24
13.10.2015;184,97;;184,97;;445,551M;3820727471,04
12.10.2015;185,36;;185,36;;445,523M;3825920015,57
09.10.2015;185,79;;185,79;;445,961M;3832359570,81
08.10.2015;184,66;;184,66;;442,676M;3805484265,87
07.10.2015;182,89;;182,89;;436,757M;3765933940,46
06.10.2015;184,03;;184,03;;438,449M;3786879745,27
05.10.2015;180,01;;180,01;;428,787M;3702843942,35
02.10.2015;178,49;;178,49;;426,779M;3674558307,34
01.10.2015;178,92;;178,92;;426,819M;3682111188,46
30.09.2015;174,47;;174,47;;414,997M;3590423453,71
29.09.2015;174,91;;174,91;;411,787M;3594144917,64
28.09.2015;180,39;;180,39;;424,548M;3704542678,81
25.09.2015;178,39;;178,39;;419,269M;3663204696,65
24.09.2015;181,67;;181,67;;425,112M;3727494828,98
23.09.2015;182,77;;182,77;;427,397M;3722119306,91
22.09.2015;185,26;;185,26;;433,076M;3771348083,06
21.09.2015;182,74;;182,74;;426,444M;3718528226,42
18.09.2015;185,90;;185,90;;432,33M;3779348066,02
17.09.2015;186,35;;186,35;;432,578M;3786815814,75
16.09.2015;184,51;;184,51;;427,731M;3748033685,82
15.09.2015;182,46;;182,46;;421,303M;3704587322,14
14.09.2015;183,39;;183,39;;422,978M;3721784718,36
11.09.2015;184,05;;184,05;;422,86M;3733612969,56
10.09.2015;185,04;;185,04;;427,207M;3755298027,73
09.09.2015;186,20;;186,20;;430,459M;3785904082,99
07.09.2015;183,01;;183,01;;422,914M;3719572664,11
04.09.2015;185,75;;185,75;;428,783M;3773887945,69
03.09.2015;182,80;;182,80;;422,281M;3716665731,54
02.09.2015;180,22;;180,22;;415,129M;3662696602,19
01.09.2015;185,26;;185,26;;425,469M;3762044179,18
31.08.2015;187,08;;187,08;;429,504M;3802321876,85
28.08.2015;186,77;;186,77;;431,96M;3802305667,95
27.08.2015;180,13;;180,13;;418,04M;3679733845,42
26.08.2015;176,85;;176,85;;412,204M;3625759426,52
25.08.2015;174,29;;174,29;;407,661M;3580487818,54
24.08.2015;183,99;;183,99;;429,931M;3777318470,79
21.08.2015;191,18;;191,18;;446,583M;3923143612,47
20.08.2015;197,71;;197,71;;462,596M;4056757142
19.08.2015;200,16;;200,16;;467,838M;4104060118,18
18.08.2015;200,16;;200,16;;465,606M;4098992458,12
17.08.2015;198,68;;198,68;;461,481M;4066478304,71
14.08.2015;197,58;;197,58;;458,871M;4043769055,59
13.08.2015;196,37;;196,37;;455,625M;4022052437,53
12.08.2015;199,87;;199,87;;463,32M;4088111236,83
11.08.2015;203,88;;203,88;;466,053M;4158859621,15
10.08.2015;202,60;;202,60;;462,672M;4126435723,24
07.08.2015;203,64;;203,64;;464,257M;4141343161,73
06.08.2015;207,03;;207,03;;471,05M;4204664788,46
05.08.2015;204,53;;204,53;;464,804M;4150518870,85
04.08.2015;204,16;;204,16;;462,91M;4138090783,27
03.08.2015;203,61;;203,61;;461,18M;4126639939,2
31.07.2015;204,71;;204,71;;462,371M;4141241418,22
30.07.2015;203,11;;203,11;;458,157M;4105547994,26
29.07.2015;201,86;;201,86;;454,824M;4072329310,76
28.07.2015;198,97;;198,97;;446,118M;4007504124,86
27.07.2015;203,26;;203,26;;454,885M;4087517212,7
24.07.2015;205,64;;205,64;;457,598M;4127822814,3
23.07.2015;207,70;;207,70;;458,847M;4158118883,14
22.07.2015;207,64;;207,64;;457,682M;4148013408,99
21.07.2015;210,41;;210,41;;462,647M;4195854446,39
20.07.2015;210,34;;210,34;;461,37M;4188816313,91
17.07.2015;209,72;;209,72;;458,258M;4118379096,16
16.07.2015;207,17;;207,17;;452,174M;4058137928,63
15.07.2015;206,67;;206,67;;450,857M;4038214858,88
14.07.2015;205,64;;205,64;;448,943M;4017397555,79
13.07.2015;200,96;;200,96;;449,735M;3936945352,99
10.07.2015;199,91;;199,91;;447,104M;3914130980,62
09.07.2015;198,39;;198,39;;443,25M;3884519537,36
08.07.2015;202,71;;202,71;;451,916M;3968095286,88
07.07.2015;201,76;;201,76;;449,337M;3949383923,46
03.07.2015;203,48;;203,48;;453,442M;3984055258,84
02.07.2015;203,91;;203,91;;456,923M;3996239227,8
01.07.2015;201,97;;201,97;;454,259M;3961975215,58
30.06.2015;201,35;;201,35;;452,261M;3968030141,12
29.06.2015;205,65;;205,65;;459,478M;4046132015,01
26.06.2015;205,67;;205,67;;459,104M;4042041128,38
25.06.2015;205,91;;205,91;;459,323M;4043565415,41
24.06.2015;207,32;;207,32;;460,218M;4050879440,1
22.06.2015;202,45;;202,45;;448,897M;3945314249,26
19.06.2015;201,38;;201,38;;442,009M;3916745857,74
18.06.2015;201,92;;201,92;;443,445M;3925259181,79
17.06.2015;201,95;;201,95;;442,311M;3923981058,9
16.06.2015;200,57;;200,57;;429,439M;3889115117,21
15.06.2015;201,83;;201,83;;427,815M;3902202950,22
12.06.2015;203,41;;203,41;;430,284M;3929638895,09
11.06.2015;201,88;;201,88;;426,98M;3900951561,25
10.06.2015;200,12;;200,12;;420,119M;3863560675,41
09.06.2015;200,98;;200,98;;421,482M;3871190356,66
08.06.2015;203,99;;203,99;;428,132M;3928551088,22
05.06.2015;201,98;;201,98;;423,489M;3887930848,29
04.06.2015;204,05;;204,05;;428,657M;3923767201,61
03.06.2015;205,54;;205,54;;431,443M;3945731654,12
02.06.2015;209,66;;209,66;;436,616M;4019576699,48
01.06.2015;208,33;;208,33;;432,474M;3990513360,42
29.05.2015;210,67;;210,67;;437,306M;4032986727,21
28.05.2015;211,57;;211,57;;436,588M;4045274633,44
27.05.2015;209,71;;209,71;;434,063M;4008133625,76
26.05.2015;209,85;;209,85;;433,177M;4045216146,21
22.05.2015;208,34;;208,34;;429,758M;3974145671,13
21.05.2015;208,08;;208,08;;429,004M;3979079909,75
20.05.2015;207,59;;207,59;;427,549M;3968930138,9
19.05.2015;203,56;;203,56;;418,992M;3882088463,14
18.05.2015;201,72;;201,72;;414,837M;3834474225,65
15.05.2015;202,28;;202,28;;415,048M;3842568396,24
13.05.2015;201,48;;201,48;;412,057M;3823934445,89
12.05.2015;203,83;;203,83;;415,682M;3855306549,59
11.05.2015;203,05;;203,05;;414,144M;3845695772,24
08.05.2015;199,17;;199,17;;405,87M;3791320393,66
07.05.2015;196,78;;196,78;;400,794M;3745085063,09
06.05.2015;199,59;;199,59;;406,235M;3794356379,62
05.05.2015;202,42;;202,42;;415,689M;3850343984,61
04.05.2015;200,64;;200,64;;412,034M;3816971475,23
01.05.2015;199,88;;199,88;;413,776M;3806361050,33
30.04.2015;202,66;;202,66;;418,991M;3857217444,5
29.04.2015;206,97;;206,97;;427,148M;3937403534,78
28.04.2015;209,15;;209,15;;421,826M;3965915597,88
27.04.2015;210,03;;210,03;;422,916M;3991365246,92
24.04.2015;210,54;;210,54;;423,763M;4000367646,52
23.04.2015;211,67;;211,67;;425,813M;4019502716,54
22.04.2015;211,36;;211,36;;424,755M;4011888271,71
21.04.2015;210,37;;210,37;;422,299M;3989842895,78
20.04.2015;208,74;;208,74;;418,846M;3955980884,14
17.04.2015;212,58;;212,58;;426,528M;4023696195,57
16.04.2015;214,18;;214,18;;431,749M;4034609483,08
15.04.2015;211,51;;211,51;;425,375M;3978600290,47
14.04.2015;213,63;;213,63;;429,729M;4014961762,86
13.04.2015;213,32;;213,32;;421,718M;3996254132,32
10.04.2015;211,72;;211,72;;418,092M;3959045528,45
09.04.2015;209,24;;209,24;;412,186M;3896226967,34
08.04.2015;206,92;;206,92;;407,088M;3845675497,73
07.04.2015;203,92;;203,92;;400,738M;3783948856,36
02.04.2015;206,27;;206,27;;408,028M;3822986658,44
01.04.2015;206,80;;206,80;;408,176M;3823728856,69
31.03.2015;206,57;;206,57;;407,002M;3818374816,35
30.03.2015;203,91;;203,91;;401,687M;3769150087,03
27.03.2015;202,30;;202,30;;399,085M;3735784576,33
26.03.2015;202,16;;202,16;;398,974M;3729512941,72
25.03.2015;206,23;;206,23;;405,777M;3795979567,78
24.03.2015;206,25;;206,25;;405,328M;3786567962,36
23.03.2015;208,78;;208,78;;409,288M;3824158816,56
20.03.2015;209,90;;209,90;;411,166M;3835725046,04
19.03.2015;209,48;;209,48;;410,543M;3823201944,35
18.03.2015;208,60;;208,60;;407,636M;3798714808,91
17.03.2015;209,12;;209,12;;408,089M;3798637767,5
16.03.2015;207,91;;207,91;;404,908M;3768631593,5
13.03.2015;207,12;;207,12;;403,599M;3748713986,62
12.03.2015;205,95;;205,95;;398,345M;3718466572,54
11.03.2015;203,08;;203,08;;391,546M;3659027443,57
10.03.2015;203,26;;203,26;;388,879M;3634333339,26
09.03.2015;203,02;;203,02;;383,384M;3616163389,8
06.03.2015;202,86;;202,86;;382,312M;3602737469,27
05.03.2015;201,25;;201,25;;379,191M;3566991242,41
04.03.2015;199,87;;199,87;;376,024M;3532316812,3
03.03.2015;201,11;;201,11;;377,535M;3545199433,31
02.03.2015;199,71;;199,71;;374,232M;3505959028,82
27.02.2015;199,91;;199,91;;374,131M;3502361486,64
26.02.2015;197,75;;197,75;;369,168M;3459731316,56
25.02.2015;197,75;;197,75;;368,068M;3447341759,04
24.02.2015;197,15;;197,15;;366,727M;3426718307,28
23.02.2015;196,62;;196,62;;365,106M;3406173897,43
20.02.2015;195,18;;195,18;;362,309M;3374575499,69
19.02.2015;195,08;;195,08;;361,024M;3364049385,03
18.02.2015;193,64;;193,64;;357,403M;3323083143,11
16.02.2015;193,70;;193,70;;356,717M;3315862525,49
13.02.2015;193,28;;193,28;;357,579M;3303223707,27
