Table 1
NAV calculation date;NAV;Reinvestment factor;"NAV (adjusted if ""distr."")";Dividend;Fund size (class);Fund size (compartment)
06.09.2024;360,77;;360,77;;1,837B;10764068188,94
05.09.2024;361,38;;361,38;;1,84B;10793694949,95
04.09.2024;363,19;;363,19;;1,848B;10850839922,95
03.09.2024;370,43;;370,43;;1,885B;11063790944,55
30.08.2024;371,89;;371,89;;1,893B;11110165734,65
29.08.2024;370,36;;370,36;;1,885B;11068632105,62
28.08.2024;368,76;;368,76;;1,877B;11023578564,32
27.08.2024;366,18;;366,18;;1,864B;10949421549,58
26.08.2024;369,11;;369,11;;1,879B;11037093307,37
23.08.2024;367,20;;367,20;;1,87B;10969387681,51
22.08.2024;368,49;;368,49;;1,876B;11005609546,45
21.08.2024;367,34;;367,34;;1,871B;10970708301,73
20.08.2024;367,48;;367,48;;1,872B;10974236562,63
19.08.2024;365,46;;365,46;;1,861B;10910897492,1
16.08.2024;365,04;;365,04;;1,858B;10898747162,67
14.08.2024;357,80;;357,80;;1,821B;10687232612,96
13.08.2024;358,18;;358,18;;1,824B;10694607208,28
12.08.2024;354,75;;354,75;;1,816B;10601803300,14
09.08.2024;355,06;;355,06;;1,817B;10614155701,71
08.08.2024;352,41;;352,41;;1,804B;10537956511,87
07.08.2024;356,37;;356,37;;1,825B;10665946194,44
06.08.2024;350,88;;350,88;;1,797B;10519689945,06
05.08.2024;344,30;;344,30;;1,763B;10332918158,05
02.08.2024;356,23;;356,23;;1,825B;10692565766,92
01.08.2024;372,97;;372,97;;1,909B;11188541835,51
31.07.2024;370,18;;370,18;;1,896B;11111172246,04
30.07.2024;370,63;;370,63;;1,898B;11130958877,17
29.07.2024;370,21;;370,21;;1,897B;11125172568,8
26.07.2024;366,82;;366,82;;1,881B;11036691819,58
25.07.2024;364,78;;364,78;;1,871B;11015801506,87
24.07.2024;368,14;;368,14;;1,888B;11123030117,21
23.07.2024;371,97;;371,97;;1,909B;11244467525,95
22.07.2024;368,90;;368,90;;1,893B;11157157701,74
19.07.2024;368,16;;368,16;;1,89B;11136616383,47
18.07.2024;373,38;;373,38;;1,917B;11302251517,56
17.07.2024;374,54;;374,54;;1,924B;11342197514,26
16.07.2024;377,07;;377,07;;1,937B;11421658533,03
15.07.2024;374,10;;374,10;;1,93B;11346463710,77
12.07.2024;374,02;;374,02;;1,93B;11347407336,24
11.07.2024;373,01;;373,01;;1,926B;11321436239,24
10.07.2024;368,72;;368,72;;1,904B;11191303119,42
09.07.2024;368,66;;368,66;;1,904B;11196482161,64
08.07.2024;368,95;;368,95;;1,912B;11216872893,31
05.07.2024;366,74;;366,74;;1,901B;11159556296,93
03.07.2024;365,97;;365,97;;1,911B;11153878632,59
02.07.2024;365,14;;365,14;;1,906B;11129176333,14
01.07.2024;366,85;;366,85;;1,916B;11183705282,55
28.06.2024;369,73;;369,73;;1,931B;11274331093,88
